x,y,z,qx,qy,qz,qw,vx,vy,vz,vroll,vpitch,vyaw,ax,ay,az,aroll,apitch,ayaw
0.554402,-9.71103e-05,0.624405,0.923994,-0.382406,-0.000244224,-0.000171025,-0.00334863,-0.00334863,-0.00334863,0.017342,0.0110481,0.017342,-0.057735,-0.057735,-0.057735,0.299,0.190484,0.299
0.554399,-0.000100488,0.624402,0.923998,-0.382398,-0.000252718,-0.000176973,-0.00340637,-0.00340637,-0.00340637,0.017641,0.0112386,0.017641,-0.057735,-0.057735,-0.057735,0.299,0.190484,0.299
0.554395,-0.000103923,0.624398,0.924001,-0.382389,-0.000261357,-0.000183023,-0.0034641,-0.0034641,-0.0034641,0.01794,0.0114291,0.01794,-0.057735,-0.057735,-0.057735,0.299,0.190484,0.299
0.554392,-0.000107416,0.624395,0.924004,-0.382381,-0.000270142,-0.000189175,-0.00352184,-0.00352184,-0.00352184,0.018239,0.0116195,0.018239,-0.057735,-0.057735,-0.057735,0.299,0.190484,0.299
0.554388,-0.000110967,0.624391,0.924008,-0.382372,-0.000279071,-0.000195428,-0.00357957,-0.00357957,-0.00357957,0.018538,0.01181,0.018538,-0.057735,-0.057735,-0.057735,0.299,0.190484,0.299
0.554384,-0.000114575,0.624387,0.924012,-0.382364,-0.000288146,-0.000201783,-0.00363731,-0.00363731,-0.00363731,0.018837,0.0120005,0.018837,-0.057735,-0.057735,-0.057735,0.299,0.190484,0.299
0.554381,-0.000118241,0.624384,0.924015,-0.382355,-0.000297367,-0.00020824,-0.00369504,-0.00369504,-0.00369504,0.019136,0.012191,0.019136,-0.057735,-0.057735,-0.057735,0.299,0.190484,0.299
0.554377,-0.000121965,0.62438,0.924019,-0.382346,-0.000306732,-0.000214798,-0.00375278,-0.00375278,-0.00375278,0.019435,0.0123815,0.019435,-0.057735,-0.057735,-0.057735,0.299,0.190484,0.299
0.554373,-0.000125747,0.624376,0.924023,-0.382337,-0.000316242,-0.000221458,-0.00381051,-0.00381051,-0.00381051,0.019734,0.012572,0.019734,-0.057735,-0.057735,-0.057735,0.299,0.190484,0.299
0.554369,-0.000129586,0.624372,0.924026,-0.382328,-0.000325898,-0.00022822,-0.00386825,-0.00386825,-0.00386825,0.020033,0.0127624,0.020033,-0.057735,-0.057735,-0.057735,0.299,0.190484,0.299
0.554366,-0.000133483,0.624369,0.92403,-0.382319,-0.000335699,-0.000235083,-0.00392598,-0.00392598,-0.00392598,0.020332,0.0129529,0.020332,-0.057735,-0.057735,-0.057735,0.299,0.190484,0.299
0.554362,-0.000137438,0.624365,0.924034,-0.382309,-0.000345645,-0.000242048,-0.00398372,-0.00398372,-0.00398372,0.020631,0.0131434,0.020631,-0.057735,-0.057735,-0.057735,0.299,0.190484,0.299
0.554358,-0.000141451,0.624361,0.924038,-0.3823,-0.000355736,-0.000249115,-0.00404145,-0.00404145,-0.00404145,0.02093,0.0133339,0.02093,-0.057735,-0.057735,-0.057735,0.299,0.190484,0.299
0.554353,-0.000145521,0.624356,0.924042,-0.38229,-0.000365973,-0.000256284,-0.00409919,-0.00409919,-0.00409919,0.021229,0.0135244,0.021229,-0.057735,-0.057735,-0.057735,0.299,0.190484,0.299
